CMDLINE /Users/kanavanand/venv/bin/python3 main.py
MEM 94.730469 1557307097.7986
MEM 94.730469 1557307097.9105
MEM 94.730469 1557307098.0206
MEM 94.730469 1557307098.1324
MEM 94.730469 1557307098.2417
MEM 94.730469 1557307098.3557
MEM 94.730469 1557307098.4690
MEM 94.730469 1557307098.5781
MEM 94.730469 1557307098.6911
MEM 94.730469 1557307098.8071
MEM 94.730469 1557307098.9187
MEM 94.730469 1557307099.0316
MEM 94.730469 1557307099.1434
MEM 94.734375 1557307099.2515
MEM 94.734375 1557307099.3630
MEM 94.734375 1557307099.4761
MEM 94.734375 1557307099.5878
MEM 94.734375 1557307099.7006
MEM 94.734375 1557307099.8135
MEM 94.734375 1557307099.9264
MEM 94.734375 1557307100.0377
MEM 94.734375 1557307100.1509
MEM 94.734375 1557307100.2639
MEM 94.734375 1557307100.3772
MEM 94.734375 1557307100.4895
MEM 94.734375 1557307100.5990
MEM 94.734375 1557307100.7073
MEM 94.734375 1557307100.8142
MEM 94.734375 1557307100.9216
MEM 94.734375 1557307101.0318
MEM 94.734375 1557307101.1403
MEM 94.734375 1557307101.2501
MEM 94.734375 1557307101.3626
MEM 94.734375 1557307101.4745
MEM 94.734375 1557307101.5835
MEM 94.734375 1557307101.6984
MEM 94.734375 1557307101.8116
MEM 94.734375 1557307101.9229
MEM 94.734375 1557307102.0337
MEM 94.734375 1557307102.1488
MEM 94.734375 1557307102.2592
MEM 94.734375 1557307102.3693
MEM 94.734375 1557307102.4829
MEM 94.734375 1557307102.5949
MEM 94.734375 1557307102.7045
MEM 94.734375 1557307102.8191
MEM 94.734375 1557307102.9328
MEM 94.734375 1557307103.0450
MEM 94.734375 1557307103.1577
MEM 94.734375 1557307103.2692
MEM 94.734375 1557307103.3775
MEM 94.734375 1557307103.4873
MEM 94.734375 1557307103.5996
MEM 94.734375 1557307103.7095
MEM 94.734375 1557307103.8226
MEM 94.734375 1557307103.9331
MEM 94.734375 1557307104.0478
MEM 94.734375 1557307104.1569
MEM 94.734375 1557307104.2660
MEM 94.734375 1557307104.3760
MEM 94.734375 1557307104.4848
MEM 94.734375 1557307104.5958
MEM 94.734375 1557307104.7088
MEM 94.734375 1557307104.8168
MEM 94.734375 1557307104.9284
MEM 94.734375 1557307105.0405
MEM 94.734375 1557307105.1523
MEM 94.734375 1557307105.2646
MEM 94.734375 1557307105.3767
MEM 94.734375 1557307105.4863
MEM 94.734375 1557307105.6004
MEM 94.734375 1557307105.7113
MEM 94.734375 1557307105.8242
MEM 94.734375 1557307105.9370
MEM 94.734375 1557307106.0454
MEM 94.734375 1557307106.1572
MEM 94.734375 1557307106.2689
MEM 94.734375 1557307106.3787
MEM 94.734375 1557307106.4898
MEM 94.734375 1557307106.6025
MEM 94.734375 1557307106.7154
MEM 94.734375 1557307106.8285
MEM 94.734375 1557307106.9415
MEM 94.734375 1557307107.0569
MEM 94.734375 1557307107.1700
MEM 94.734375 1557307107.2809
MEM 94.734375 1557307107.3900
